Name,Year,Age,From Team,WAR3,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,Pos
Dave Magadan,2001,39,SDP,0.7,1582,4963,4159,516,1197,218,13,42,495,11,11,718,546,0.288,0.39,0.377,0.767,3B-1B-DH
D.T. Cromer,2001,31,CIN,0.4,85,114,104,14,32,7,0,7,20,0,0,4,33,0.308,0.327,0.577,0.904,
Scott Sheldon,2001,33,TEX,0,141,310,285,34,67,16,0,8,33,1,1,15,84,0.235,0.275,0.375,0.65,3B-SS
Joe Oliver,2001,36,BOS,-0.2,1076,3698,3367,320,831,174,3,102,476,13,13,248,637,0.247,0.299,0.391,0.69,C
Turner Ward,2001,37,PHI,-0.2,626,1790,1548,210,389,73,11,39,219,33,15,186,247,0.251,0.332,0.388,0.721,OF
Chris Seelbach,2001,29,ATL,-0.3,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Joe Strong,2001,39,FLA,-0.3,21,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,
Bernard Gilkey,2001,35,ATL,-0.5,1239,4626,4061,606,1115,244,24,118,546,115,71,466,708,0.275,0.352,0.434,0.785,OF
Eric Knott,2001,27,ARI,-0.5,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
Terry Jones,2001,31,MON,-0.8,227,585,530,78,128,21,5,1,34,27,8,36,106,0.242,0.289,0.306,0.595,OF
Dante Bichette,2001,38,BOS,-1,1704,6856,6381,934,1906,401,27,274,1141,152,73,355,1078,0.299,0.336,0.499,0.835,OF-DH
Brett Hinchliffe,2001,27,NYM,-1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
Mark Lewis,2001,32,CLE,-1.1,902,3051,2795,320,736,155,13,48,306,29,18,196,511,0.263,0.312,0.38,0.692,2B-3B-SS
Fernando Seguignol,2001,27,MON,-1.1,173,394,359,42,90,23,0,17,40,0,1,19,111,0.251,0.305,0.457,0.761,1B-OF
Brian Johnson,2001,34,LAD,-1.2,471,1539,1415,132,351,60,6,49,196,1,3,80,268,0.248,0.291,0.403,0.694,C
John Wehner,2001,35,PIT,-1.3,461,897,804,99,200,33,4,4,54,15,7,73,136,0.249,0.311,0.315,0.626,3B-OF
Bobby Bonilla,2001,39,STL,-3.6,2113,8257,7213,1084,2010,408,61,287,1173,45,57,912,1204,0.279,0.358,0.472,0.829,3B-OF-1B-DH
Ray Lankford,2002,36,SDP,1.7,1609,6440,5547,932,1510,342,53,232,852,256,115,799,1495,0.272,0.364,0.478,0.843,OF
Rickey Henderson,2002,44,BOS,1.6,3051,13262,10889,2288,3040,509,66,295,1110,1403,335,2179,1678,0.279,0.402,0.419,0.821,OF-DH
Tim Raines,2002,43,FLA,0.6,2502,10359,8872,1571,2605,430,113,170,980,808,146,1330,966,0.294,0.385,0.425,0.81,OF-DH-2B
David Newhan,2002,29,LAD,0.2,63,97,86,17,14,3,0,3,9,2,1,10,24,0.163,0.247,0.302,0.55,OF-2B-DH
Bry Nelson,2002,29,BOS,0,25,39,34,6,9,3,0,0,2,1,1,4,1,0.265,0.342,0.353,0.695,
Curtis Pride,2002,34,PIT,-0.1,349,800,706,118,181,33,12,18,76,28,14,79,186,0.256,0.335,0.414,0.749,OF-DH
Dave Maurer,2002,28,CLE,-0.2,17,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
Mike Caruso,2002,26,KCR,-0.3,281,1140,1072,144,294,28,10,7,90,34,20,35,76,0.274,0.302,0.339,0.641,SS
Alex Arias,2002,35,NYY,-0.6,775,2010,1773,203,470,84,6,18,196,10,5,181,211,0.265,0.338,0.35,0.688,SS-3B-2B
Takahito Nomura,2002,34,MIL,-0.6,21,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Chris Richard,2003,30,COL,1.6,267,983,880,131,227,57,6,34,122,18,18,77,176,0.258,0.324,0.452,0.777,OF-1B-DH
Ruben Rivera,2003,30,BAL,1.6,662,1818,1586,237,343,67,11,64,203,50,20,185,510,0.216,0.307,0.393,0.701,OF
Matt Franco,2003,34,ATL,0.7,661,1113,977,110,261,43,6,22,117,2,2,124,158,0.267,0.349,0.391,0.74,1B-3B-OF
Al Martin,2003,36,TBD,0.5,1232,4688,4242,664,1172,220,48,132,485,173,65,390,879,0.276,0.339,0.444,0.783,OF-DH
Andres Galarraga,2003,43,SFG,0.3,2250,8905,8086,1194,2330,444,32,398,1423,128,81,583,2000,0.288,0.347,0.499,0.846,1B-DH
Kevin Ohme,2003,33,STL,0.3,2,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,2,
Mandy Romero,2003,36,COL,0.1,42,85,77,12,16,2,0,2,5,1,0,6,25,0.208,0.282,0.312,0.594,C
Chad Meyers,2003,28,SEA,0,106,237,212,27,44,11,0,0,9,6,3,14,43,0.208,0.281,0.259,0.54,2B
Rontrez Johnson,2003,27,ATL,-0.1,8,3,3,3,1,0,0,0,0,0,0,0,2,0.333,0.333,0.333,0.667,
Curtis Pride,2003,35,NYY,-0.1,353,812,718,119,182,33,12,19,77,28,14,79,188,0.253,0.332,0.412,0.744,OF-DH
Angel Santos,2003,24,CLE,-0.2,41,99,92,11,19,4,1,3,7,1,1,5,25,0.207,0.245,0.37,0.614,2B
Morgan Burkhart,2003,32,KCR,-0.5,42,145,121,20,30,4,0,5,23,0,0,19,38,0.248,0.366,0.405,0.77,
Larry Barnes,2003,29,LAD,-0.9,46,80,78,4,12,2,0,1,4,0,0,2,18,0.154,0.175,0.218,0.393,
Julio Mosquera,2003,32,SEA,,11,31,30,2,7,3,0,0,2,0,1,0,5,0.233,0.258,0.333,0.591,
John Olerud,2004,36,NYY,8.8,2147,8871,7419,1121,2189,493,13,248,1193,11,14,1259,996,0.295,0.399,0.465,0.864,1B-DH
Edgar Martinez,2004,42,SEA,5.6,2055,8674,7213,1219,2247,514,15,309,1261,49,30,1283,1202,0.312,0.418,0.515,0.933,DH-3B
Robin Ventura,2004,37,LAD,5.6,2079,8271,7064,1006,1885,338,14,294,1182,24,38,1075,1179,0.267,0.362,0.444,0.806,3B-1B
Ellis Burks,2004,40,BOS,4.4,2000,8177,7232,1253,2107,402,63,352,1206,181,84,793,1340,0.291,0.363,0.51,0.874,OF-DH
Brad Fullmer,2004,30,TEX,3.8,807,3065,2789,395,778,203,16,114,442,32,21,216,373,0.279,0.336,0.486,0.822,DH-1B
Tony Batista,2004,31,WSN,2.5,1179,4646,4289,591,1078,211,17,214,681,47,25,260,749,0.251,0.298,0.458,0.756,3B-SS-2B-DH
Herbert Perry,2004,35,TEX,1.6,529,1889,1696,241,461,102,6,55,246,12,8,128,291,0.272,0.335,0.436,0.771,3B-1B-DH
Barry Larkin,2004,41,CIN,1.2,2180,9057,7937,1329,2340,441,76,198,960,379,77,939,817,0.295,0.371,0.444,0.815,SS
Gabe Kapler,2004,29,BOS,1,742,2441,2198,326,598,126,13,61,281,66,25,199,348,0.272,0.332,0.424,0.757,OF
John Vander Wal,2004,39,CIN,1,1372,3166,2751,374,717,170,18,97,430,38,20,385,698,0.261,0.351,0.441,0.792,OF-1B-DH
Shane Spencer,2004,33,NYY,0.9,538,1867,1671,208,438,84,8,59,242,13,11,152,357,0.262,0.326,0.428,0.754,OF-DH
Bobby Estalella,2004,30,TOR,0.6,310,1056,904,126,195,49,5,48,147,6,2,130,290,0.216,0.315,0.44,0.755,C
Tom Goodwin,2004,36,CHC,0.5,1288,4315,3846,636,1029,125,39,24,284,369,118,365,660,0.268,0.332,0.339,0.671,OF
Todd Zeile,2004,39,NYM,0.4,2158,8649,7573,986,2004,397,23,253,1110,53,51,945,1279,0.265,0.346,0.423,0.769,3B-1B-C
Darren Bragg,2004,35,CIN,0.3,916,2835,2461,341,627,145,14,46,260,56,24,304,570,0.255,0.34,0.381,0.721,OF
Mark McLemore,2004,40,OAK,0.3,1832,7239,6192,943,1602,255,47,53,615,272,119,875,983,0.259,0.349,0.341,0.69,2B-OF-3B-SS-DH
David Segui,2004,38,BAL,0.3,1456,5451,4847,683,1412,284,16,139,684,17,19,524,687,0.291,0.359,0.443,0.802,1B-DH-OF
Jason Shiell,2004,28,BOS,0.1,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Marc Kroon,2004,32,COL,0,24,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Ray Lankford,2004,38,STL,0,1701,6675,5747,968,1561,356,54,238,874,258,117,828,1550,0.272,0.364,0.477,0.84,OF
Lino Urdaneta,2004,25,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Kelly Dransfeldt,2004,30,CHW,-0.1,51,117,112,10,23,3,0,1,11,0,0,4,32,0.205,0.233,0.259,0.492,SS
Kevin Witt,2004,29,STL,-0.1,127,363,338,33,84,10,0,13,36,1,1,19,87,0.249,0.287,0.393,0.681,DH-1B
