playerID,name,year,team
peavyja01,Jake Peavy,2016,SFG
lopezja02,Javier Lopez,2016,SFG
manshje01,Jeff Manship,2016,CLE
hochelu01,Luke Hochevar,2016,KCR
ohlenro01,Ross Ohlendorf,2016,CIN
cokeph01,Phil Coke,2016,PIT
germego01,Gonzalez Germen,2016,COL
drabeky01,Kyle Drabek,2016,SFG
floreke01,Kendry Flores,2016,MIA
diamosc01,Scott Diamond,2016,TOR
morriaj01,A.J. Morris,2016,CIN
deanpa02,Pat Dean,2016,MIN
guilmpr01,Preston Guilmet,2016,DET
hayesdr01,Drew Hayes,2016,CIN
mazzavi01,Vin Mazzaro,2016,SFG
melviti01,Tim Melville,2016,CIN
simonal01,Alfredo Simon,2016,CIN
roachdo01,Donn Roach,2016,OAK
villaca01,Carlos Villanueva,2016,SDP
carrosc02,Scott Carroll,2016,TEX
herrmfr01,Frank Herrmann,2016,PHI
capuach01,Chris Capuano,2016,MIL
wielajo01,Joe Wieland,2016,ATL
willije02,Jerome Williams,2016,STL
osullse01,Sean O'Sullivan,2016,BOS
linceti01,Tim Lincecum,2016,LAA
cloydty01,Tyler Cloyd,2016,NYY
