,Name,Year,Age,From Team,WAR3,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF
204,Todd Zeile,2004,39,NYM,0.4,0,0,,22.5,2,0,2,0,0,0,2,5,5,5,0,2,0,1,0,0,0,12
205,Jason Shiell,2004,28,BOS,0.1,2,0,1,5.84,20,0,6,0,0,1,24.2,30,17,16,4,20,2,24,2,0,2,123
206,Darwin Cubillan,2004,32,BAL,0,1,0,1,6.85,56,0,17,0,0,0,69.2,96,56,53,13,44,1,54,1,0,3,343
207,Marc Kroon,2004,32,COL,0,0,2,0,7.43,26,0,8,0,0,0,26.2,29,23,22,3,26,0,23,2,1,4,133
208,Lino Urdaneta,2004,25,DET,0,0,0,,inf,1,0,0,0,0,0,0,5,6,6,0,1,0,0,0,0,0,6
209,Scott Service,2004,38,ARI,-0.1,20,22,0.476,4.99,338,1,101,0,0,16,416.1,435,245,231,56,182,28,413,26,1,25,1853
210,Ben Ford,2004,29,MIL,-0.3,1,2,0.333,7.8,31,2,7,0,0,0,45,52,40,39,7,20,0,23,7,0,1,208
211,Bobby Jones,2004,33,BOS,-0.3,14,21,0.4,5.77,99,47,8,1,0,0,324.2,366,227,208,45,195,4,229,16,1,8,1517
212,Carlos Pulido,2004,33,MIN,-0.3,3,8,0.273,5.98,32,15,5,0,0,0,111.1,118,79,74,19,47,2,47,2,2,4,486
213,Mike Holtz,2004,32,TBD,-0.4,16,20,0.444,4.68,350,0,66,0,0,3,238.1,242,143,124,25,127,17,221,14,0,18,1078
214,Kevin Frederick,2004,28,TOR,-0.6,0,2,0,7.59,30,0,7,0,0,0,40.1,45,34,34,7,26,1,27,1,0,2,189
215,Dave Maurer,2004,30,TOR,-0.6,1,1,0.5,8.87,22,0,4,0,0,0,22.1,32,24,22,5,14,1,18,2,0,2,113
216,Mike Fetters,2004,40,ARI,-0.7,31,41,0.431,3.86,620,6,292,0,0,100,716.2,699,360,307,62,351,39,518,31,4,57,3140
217,Brad Thomas,2004,27,BOS,-0.7,0,3,0,9.89,11,5,1,0,0,0,23.2,33,26,26,7,18,1,8,1,0,3,120
218,Jason Boyd,2004,32,PIT,-0.9,5,2,0.714,5.74,113,0,34,0,0,0,133.1,128,93,85,16,75,7,97,8,0,7,601
219,Shane Loux,2004,25,DET,-0.9,1,4,0.2,7.71,14,7,1,0,0,0,44.1,56,40,38,8,15,1,15,5,0,2,204
220,Micheal Nakamura,2004,28,TOR,-0.9,0,3,0,7.51,31,0,9,0,0,1,38.1,47,34,32,11,9,0,38,3,0,3,176
221,Jesus Sanchez,2004,30,TOR,-0.9,23,34,0.404,5.32,162,83,18,2,2,0,524.2,564,334,310,82,281,22,384,15,7,21,2363
222,Mickey Callaway,2004,30,TEX,-1,4,11,0.267,6.27,40,20,11,0,0,0,130.2,166,104,91,17,58,2,86,6,1,5,608
223,Adrian Hernandez,2004,30,MIL,-1.2,0,6,0,6.55,14,5,3,0,0,0,44,45,36,32,10,30,1,33,2,0,8,209
224,Adam Pettyjohn,2004,28,OAK,,1,6,0.143,5.82,16,9,1,0,0,0,65,81,48,42,10,21,2,40,4,0,2,293
225,Roger Clemens,2005,43,HOU,17.6,341,172,0.665,3.12,672,671,0,118,46,0,4704.1,3997,1799,1632,347,1520,62,4502,150,20,133,19369
226,Kevin Brown,2005,41,NYY,6.9,211,144,0.594,3.28,486,476,1,72,17,0,3256.1,3079,1357,1185,208,901,42,2397,139,15,108,13542
227,Ugueth Urbina,2005,32,PHI,3.9,44,49,0.473,3.45,583,21,408,0,0,237,697.1,539,289,267,86,307,30,814,6,6,29,2918
228,Shigetoshi Hasegawa,2005,37,SEA,3.5,45,43,0.511,3.7,517,8,191,0,0,33,720.1,691,323,296,76,265,37,447,18,6,16,3031
229,Paul Quantrill,2005,37,FLA,2.8,68,78,0.466,3.83,841,64,228,1,1,21,1255.2,1442,601,534,112,336,68,725,45,8,5,5428
230,Shingo Takatsu,2005,37,NYM,2.1,8,6,0.571,3.38,99,0,69,0,0,27,98.2,81,38,37,17,40,5,88,2,0,2,413
231,Cal Eldred,2005,38,STL,1.5,86,74,0.538,4.42,341,192,45,19,4,9,1368,1340,716,672,173,576,17,939,50,2,39,5930
232,Jim Mecir,2005,36,FLA,1.3,29,35,0.453,3.77,474,0,126,0,0,12,527,482,240,221,41,225,28,450,23,1,19,2263
233,Chad Fox,2005,35,CHC,0.8,10,11,0.476,3.57,214,0,49,0,0,6,224.1,193,96,89,21,128,12,261,9,2,22,995
234,Jose Santiago,2005,31,NYM,0.8,17,22,0.436,4.36,229,0,63,0,0,4,299,336,155,145,28,95,12,153,13,1,4,1314
235,Buddy Groom,2005,40,ARI,0.7,31,32,0.492,4.64,786,15,195,0,0,27,734.2,825,403,379,73,260,36,494,21,4,20,3226
236,T.J. Tucker,2005,27,WSN,0.6,13,9,0.591,4.57,171,10,42,0,0,4,228.2,263,127,116,27,73,16,140,8,1,8,1009
237,Masao Kida,2005,37,SEA,0.1,1,1,0.5,5.83,65,2,24,0,0,1,95.2,114,66,62,9,39,3,68,6,0,10,432
238,Jason Christiansen,2005,36,LAA,0,27,26,0.509,4.3,528,0,128,0,0,16,433.2,409,220,207,37,217,34,384,15,2,27,1911
239,Manny Aybar,2005,34,NYM,-0.2,17,18,0.486,5.11,208,28,53,0,0,3,391,413,244,222,49,172,10,273,16,5,13,1749
240,Jeff Bennett,2005,26,MIL,-0.2,1,5,0.167,4.79,60,0,20,0,0,0,71.1,78,43,38,12,26,2,45,2,0,6,316
241,Joe Horgan,2005,29,WSN,-0.2,4,1,0.8,5.48,55,0,13,0,0,2,46,54,33,28,5,26,3,35,4,0,1,222
242,David Sanders,2005,26,CHW,-0.3,0,0,,6.75,22,0,7,0,0,0,24,28,19,18,6,12,0,15,1,0,0,112
243,Jimmy Journell,2005,28,STL,-0.4,0,1,0,7.43,12,0,5,0,0,0,13.1,16,13,11,1,16,0,13,0,0,1,71
244,Jay Powell,2005,34,ATL,-0.5,36,23,0.61,4.17,512,0,161,0,0,22,542.1,543,295,251,42,272,30,423,21,1,20,2414
245,Mike Matthews,2005,32,NYM,-1,14,10,0.583,4.54,230,10,47,0,0,1,243.2,237,129,123,29,121,16,175,13,3,19,1073
246,Ismael Valdez,2005,32,FLA,-1.2,104,105,0.498,4.09,325,288,12,13,6,1,1827.1,1872,892,830,234,523,39,1173,47,18,23,7760
